epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.6608,1.02912,0.8124,0.9439,0.61824,0.60377,0.56506,0.36086,1.26978,0.81685,1.03853,0.000742625,0.000742625,0.000742625
43,74.3865,1.06022,0.84112,0.94742,0.6785,0.52987,0.56952,0.36181,1.30413,0.81279,1.06286,0.00073025,0.00073025,0.00073025
44,76.1112,1.13602,0.88946,0.98922,0.63618,0.59159,0.55056,0.35824,1.30026,0.77189,1.06849,0.000717875,0.000717875,0.000717875
45,77.8306,1.09985,0.8169,0.95985,0.63701,0.58485,0.53422,0.35533,1.30088,0.76338,1.07741,0.0007055,0.0007055,0.0007055
46,79.5963,1.09358,0.8115,0.95761,0.65445,0.60063,0.54889,0.36427,1.30656,0.7889,1.06916,0.000693125,0.000693125,0.000693125
47,81.334,1.06995,0.80004,0.94927,0.67328,0.58143,0.54979,0.35782,1.3009,0.78397,1.07665,0.00068075,0.00068075,0.00068075
48,83.0435,1.01351,0.81428,0.95573,0.65343,0.60097,0.60635,0.41311,1.31098,0.77361,1.06438,0.000668375,0.000668375,0.000668375
49,84.7582,1.01569,0.83312,0.94778,0.64599,0.6011,0.60005,0.38822,1.29309,0.81046,1.05926,0.000656,0.000656,0.000656
50,86.4868,1.0174,0.79422,0.9314,0.7834,0.57404,0.61994,0.41064,1.24764,0.77217,1.04223,0.000643625,0.000643625,0.000643625
51,88.1966,1.02608,0.76992,0.94306,0.68989,0.57547,0.62069,0.41372,1.29245,0.7776,1.0595,0.00063125,0.00063125,0.00063125
52,89.9312,1.06993,0.80485,0.96029,0.67879,0.58999,0.62513,0.43253,1.29595,0.75375,1.04834,0.000618875,0.000618875,0.000618875
53,91.6348,1.02546,0.79026,0.9514,0.62926,0.58292,0.58486,0.40068,1.30833,0.78348,1.05269,0.0006065,0.0006065,0.0006065
54,93.3705,0.95251,0.76215,0.92785,0.66406,0.58402,0.57717,0.39656,1.31152,0.76855,1.04664,0.000594125,0.000594125,0.000594125
55,95.1068,0.98167,0.74776,0.93133,0.67598,0.60063,0.5976,0.4027,1.26468,0.72676,1.04392,0.00058175,0.00058175,0.00058175
56,96.8469,0.93981,0.73049,0.91161,0.67047,0.6025,0.6075,0.41072,1.29354,0.75634,1.04859,0.000569375,0.000569375,0.000569375
57,98.5311,0.99244,0.7591,0.93181,0.65729,0.58491,0.55938,0.36428,1.29477,0.74193,1.05099,0.000557,0.000557,0.000557
58,100.231,0.99881,0.76225,0.93127,0.60695,0.61424,0.54945,0.35181,1.29664,0.75856,1.06371,0.000544625,0.000544625,0.000544625
59,101.951,0.9993,0.76323,0.94396,0.6277,0.61006,0.55456,0.35492,1.25983,0.76614,1.04864,0.00053225,0.00053225,0.00053225
60,103.656,0.968,0.72818,0.92908,0.66091,0.57531,0.55268,0.35432,1.25269,0.74925,1.04409,0.000519875,0.000519875,0.000519875
61,105.345,0.94894,0.74127,0.91075,0.61884,0.60063,0.54116,0.3464,1.2658,0.7584,1.05015,0.0005075,0.0005075,0.0005075
62,107.02,0.96501,0.72291,0.9286,0.64166,0.57862,0.54787,0.35872,1.25268,0.74784,1.03976,0.000495125,0.000495125,0.000495125
63,108.728,0.93816,0.69832,0.9204,0.67938,0.58156,0.55276,0.35913,1.25014,0.718,1.05014,0.00048275,0.00048275,0.00048275
64,110.417,0.89257,0.65759,0.91659,0.65277,0.57547,0.56559,0.37018,1.23374,0.72635,1.04123,0.000470375,0.000470375,0.000470375
65,112.072,0.916,0.70018,0.91963,0.64592,0.58176,0.57359,0.36945,1.20301,0.73526,1.02014,0.000458,0.000458,0.000458
66,113.733,0.92914,0.72602,0.91779,0.66008,0.58254,0.58699,0.38684,1.20674,0.72503,1.02884,0.000445625,0.000445625,0.000445625
67,115.424,0.89772,0.68206,0.90932,0.70086,0.59119,0.57165,0.37503,1.20283,0.71678,1.02513,0.00043325,0.00043325,0.00043325
68,117.121,0.89127,0.68691,0.89858,0.61083,0.60063,0.56841,0.36176,1.20272,0.75485,1.02155,0.000420875,0.000420875,0.000420875
69,118.752,0.89316,0.6737,0.91131,0.61873,0.59226,0.56746,0.35296,1.22189,0.75134,1.03531,0.0004085,0.0004085,0.0004085
70,120.397,0.92049,0.67879,0.89573,0.61427,0.60921,0.57676,0.3596,1.20649,0.74078,1.0274,0.000396125,0.000396125,0.000396125
71,122.083,0.90657,0.68561,0.90984,0.64098,0.60692,0.58904,0.3794,1.23551,0.73806,1.03297,0.00038375,0.00038375,0.00038375
72,123.761,0.90457,0.66566,0.89844,0.69785,0.57618,0.57729,0.3855,1.24955,0.72442,1.03679,0.000371375,0.000371375,0.000371375
73,125.422,0.91473,0.67055,0.90761,0.69927,0.56875,0.57436,0.39091,1.21889,0.70861,1.02526,0.000359,0.000359,0.000359
74,127.133,0.90179,0.66417,0.91028,0.70277,0.57862,0.55068,0.37485,1.1687,0.69042,1.02149,0.000346625,0.000346625,0.000346625
75,128.819,0.89702,0.68162,0.90651,0.66241,0.5958,0.55531,0.37669,1.17247,0.70168,1.0295,0.00033425,0.00033425,0.00033425
76,130.5,0.88529,0.65595,0.90445,0.68684,0.6195,0.56052,0.38698,1.13612,0.67507,1.00809,0.000321875,0.000321875,0.000321875
77,132.137,0.87065,0.64032,0.89168,0.68806,0.62579,0.5593,0.38542,1.14562,0.68156,1.00286,0.0003095,0.0003095,0.0003095
78,133.818,0.89098,0.66017,0.90528,0.67298,0.62479,0.54824,0.37264,1.12675,0.68432,1.00088,0.000297125,0.000297125,0.000297125
79,135.518,0.85451,0.65675,0.89138,0.69098,0.62264,0.55417,0.37117,1.1694,0.68155,1.01103,0.00028475,0.00028475,0.00028475
80,137.198,0.85434,0.6461,0.89056,0.69772,0.59444,0.55276,0.37009,1.17758,0.69605,1.01899,0.000272375,0.000272375,0.000272375
81,138.858,0.89755,0.66825,0.89253,0.7033,0.59246,0.55473,0.3748,1.14465,0.68201,1.00916,0.00026,0.00026,0.00026
82,140.538,0.87892,0.64101,0.90093,0.71132,0.59736,0.55811,0.37398,1.14914,0.67087,1.00767,0.000247625,0.000247625,0.000247625
83,142.245,0.87299,0.62538,0.88603,0.7115,0.59119,0.54778,0.37171,1.15402,0.67775,1.00876,0.00023525,0.00023525,0.00023525
84,143.955,0.85153,0.62255,0.88894,0.70701,0.58965,0.55643,0.3815,1.15271,0.67067,1.01275,0.000222875,0.000222875,0.000222875
85,145.623,0.86601,0.63613,0.88973,0.71111,0.59434,0.55137,0.37454,1.16847,0.6786,1.02284,0.0002105,0.0002105,0.0002105
86,147.29,0.8502,0.6363,0.88393,0.69708,0.6028,0.54899,0.36332,1.19494,0.69311,1.029,0.000198125,0.000198125,0.000198125
87,148.959,0.81958,0.60016,0.88558,0.70061,0.60063,0.54634,0.37392,1.17416,0.6815,1.01856,0.00018575,0.00018575,0.00018575
88,150.675,0.81115,0.64186,0.88895,0.69127,0.58909,0.54001,0.36462,1.1956,0.70279,1.0268,0.000173375,0.000173375,0.000173375
89,152.338,0.84747,0.61309,0.89764,0.6852,0.58805,0.53436,0.36232,1.20398,0.70482,1.02998,0.000161,0.000161,0.000161
90,154.038,0.83891,0.62685,0.88255,0.68334,0.59022,0.53867,0.36636,1.19961,0.70132,1.02348,0.000148625,0.000148625,0.000148625
91,182.02,0.86535,0.67223,0.89225,0.69668,0.58351,0.53984,0.37666,1.16308,0.69851,1.00768,0.00013625,0.00013625,0.00013625
92,183.657,0.84734,0.64607,0.88464,0.68648,0.58191,0.54187,0.37644,1.16711,0.69288,1.00802,0.000123875,0.000123875,0.000123875
93,185.288,0.80872,0.63933,0.87801,0.69582,0.58288,0.54625,0.37719,1.18319,0.70063,1.01431,0.0001115,0.0001115,0.0001115
94,186.925,0.75774,0.61446,0.86278,0.69663,0.57835,0.53944,0.3749,1.18269,0.70565,1.02029,9.9125e-05,9.9125e-05,9.9125e-05
95,188.54,0.79982,0.6197,0.87554,0.68994,0.59434,0.53771,0.37409,1.17479,0.70468,1.01766,8.675e-05,8.675e-05,8.675e-05
96,190.183,0.76495,0.60785,0.86603,0.68772,0.59434,0.53785,0.3693,1.17171,0.70503,1.02056,7.4375e-05,7.4375e-05,7.4375e-05
97,191.857,0.74779,0.6007,0.88044,0.68586,0.59472,0.55332,0.38509,1.16538,0.70419,1.01855,6.2e-05,6.2e-05,6.2e-05
98,193.535,0.75212,0.60566,0.87107,0.69575,0.5845,0.53711,0.37081,1.16887,0.7038,1.02223,4.9625e-05,4.9625e-05,4.9625e-05
99,195.206,0.75816,0.58604,0.87289,0.69509,0.58404,0.53758,0.36952,1.18172,0.70551,1.02988,3.725e-05,3.725e-05,3.725e-05
100,196.905,0.73067,0.57666,0.86443,0.69474,0.58735,0.53784,0.36854,1.18463,0.70607,1.03136,2.4875e-05,2.4875e-05,2.4875e-05
